# SOURCING INSTRUCTIONS:
# 1. LinkedIn Sales Navigator: Search "Head of AI" OR "CTO" at companies with 20-500 employees in AI/ML
# 2. Product Hunt: Filter AI launches from last 90 days; find CTO on LinkedIn
# 3. Y Combinator directory: Filter current batch + last 2 batches for AI companies
# 4. Crunchbase: Series A-B AI companies, raised in last 12 months
# 5. GitHub: Repos with "agent" + "production" in README; trace to company
# 6. Conference attendee lists: AI Engineer Summit, NeurIPS industry track
# 7. Job boards: Companies hiring "ML Ops" or "AI Platform" = scaling agents
# 8. Twitter/X: Follow #AIagents, #LLMops — engaged founders are warm leads
# 9. Email pattern: try first@domain, first.last@domain, or use Hunter.io / Apollo.io
# 10. Personalization: Reference a specific blog post, launch, job listing, or incident
#
company,website,size,industry,decision_maker_role,trigger_signal,personalization_hook,email_guess,linkedin_url,notes
Arcline AI,arcline.ai,45,AI Dev Tools,CTO,Launched agent orchestration platform on Product Hunt last week,Your PH launch mentioned "production-ready agents" — curious how you're measuring that,alex@arcline.ai,linkedin.com/in/alexchen-arcline,ICP1 - Series A
Nimbus Labs,nimbuslabs.io,120,AI-Powered Customer Support,VP Engineering,Hiring for ML Ops Engineer (LinkedIn job post),Saw you're hiring ML Ops — usually means agents are scaling fast,vp.eng@nimbuslabs.io,linkedin.com/in/sarahk-nimbus,ICP1 - Series B
Cortex Dynamics,cortexdynamics.com,85,Autonomous Agents,CTO,Published blog post on agent reliability challenges,Your blog on agent reliability resonated — the monitoring gap you described is exactly what we assess,james@cortexdynamics.com,linkedin.com/in/jameswu-cortex,ICP1 - Series A
FlowState AI,flowstate.ai,30,AI Workflow Automation,Co-founder/CTO,Just closed Series A ($12M) per TechCrunch,Congrats on the raise — scaling agents post-funding is where maturity gaps usually surface,priya@flowstate.ai,linkedin.com/in/priyapatel-flowstate,ICP1 - Series A
Sentinel ML,sentinelml.com,200,AI Security,Head of Platform,Agent incident mentioned in their Discord community,Noticed the discussion in your Discord about agent hallucination rates — we help quantify and track that,platform@sentinelml.com,linkedin.com/in/marcusjohnson-sentinel,ICP1 - Series B
Verdant Health AI,verdanthealth.ai,60,Healthcare AI,CTO,FDA guidance on AI agents published; they're in healthcare,New FDA AI guidance is going to require maturity evidence — happy to share how teams are preparing,cto@verdanthealth.ai,linkedin.com/in/drlinapark-verdant,ICP1 - regulated
DataWeave Corp,dataweave.com,3500,Enterprise Data Analytics,Chief AI Officer,Posted on LinkedIn about "scaling AI responsibly",Your LinkedIn post on responsible AI scaling was spot on — maturity frameworks are how teams operationalize that,cao@dataweave.com,linkedin.com/in/robertnguyen-dataweave,ICP2 - Enterprise
Meridian Financial Tech,meridianft.com,8000,FinTech,Head of AI/ML,Failed SOC2 audit mentioned in Glassdoor reviews,Financial services AI governance is getting scrutinized — we help teams get ahead of audit findings,ai.lead@meridianft.com,linkedin.com/in/amandabrown-meridian,ICP2 - Enterprise
Atlas Global Logistics,atlasglobal.com,5000,Supply Chain,VP AI & Automation,Announced AI-powered routing agents at conference,Your conference talk on autonomous routing agents was great — curious how you're governing them at scale,vp.ai@atlasglobal.com,linkedin.com/in/davidkim-atlas,ICP2 - Enterprise
Pinnacle Insurance Group,pinnacleins.com,12000,Insurance,Chief Data & AI Officer,Board mandate for AI governance per annual report,Your annual report mentioned AI governance as a board priority — we deliver the maturity baseline that makes that real,cdao@pinnacleins.com,linkedin.com/in/susanmiller-pinnacle,ICP2 - Enterprise
NovaTech Manufacturing,novatech-mfg.com,4000,Manufacturing,Head of Digital & AI,Pilot program for AI quality inspection agents,AI agents in manufacturing QA carry real liability — maturity assessment de-risks the scaling decision,digital@novatech-mfg.com,linkedin.com/in/thomaslee-novatech,ICP2 - Enterprise
Stratiform Consulting,stratiform.co,80,AI Consulting,Managing Director,Won large AI transformation contract (press release),Congrats on the [CLIENT] win — we offer a white-label maturity assessment framework that consultancies use to lead engagements,md@stratiform.co,linkedin.com/in/emilydavis-stratiform,ICP3 - Agency
Catalyst Digital Agency,catalystdigital.io,45,Digital Agency,Principal,Adding AI practice to service offerings (LinkedIn announcement),Building an AI practice is exciting — we help agencies lead with a structured assessment framework that differentiates proposals,principal@catalystdigital.io,linkedin.com/in/michaelross-catalyst,ICP3 - Agency
Apex AI Partners,apexaipartners.com,30,AI Consultancy,Founder,Published whitepaper on AI readiness assessment,Your AI readiness whitepaper was solid — we've built a scored framework across 7 dimensions that complements that approach,founder@apexaipartners.com,linkedin.com/in/rachelgreen-apex,ICP3 - Agency
Brightpath Solutions,brightpath.dev,150,Software Development,Head of AI Practice,Client RFP for agent evaluation (job listing for AI assessor),Saw you're hiring an AI assessor — we have a turnkey assessment framework that might save you the headcount,ai.practice@brightpath.dev,linkedin.com/in/chrismartinez-brightpath,ICP3 - Agency
Quantum Leap Studios,quantumleap.studio,25,AI Product Studio,CTO,Shipping 3 agent products simultaneously per changelog,Three agent products shipping at once is ambitious — maturity assessment helps you prioritize quality across all three,cto@quantumleap.studio,linkedin.com/in/jessicawong-ql,ICP1 - Seed/A
Orion Robotics Software,orionrobotics.ai,90,Robotics/AI,VP Engineering,Expanding from single-agent to multi-agent architecture,Multi-agent architectures multiply governance complexity — we baseline maturity before the complexity compounds,vpeng@orionrobotics.ai,linkedin.com/in/andrewsmith-orion,ICP1 - Series B
Luminary AI Research,luminary.ai,40,AI Research → Product,Head of Product,Transitioning from research to production (blog post),The research-to-production transition is where maturity gaps become real — we help teams navigate that,product@luminary.ai,linkedin.com/in/katejohnson-luminary,ICP1 - Series A
TrueNorth Analytics,truenorth-analytics.com,2000,Business Intelligence,Director of AI,Agent cost overruns flagged in quarterly earnings call,Agent cost management starts with knowing where you actually stand — we deliver that baseline in 5 days,ai.director@truenorth-analytics.com,linkedin.com/in/brianthompson-truenorth,ICP2 - Enterprise
Mosaic Intelligence,mosaicintel.com,65,AI for Legal Tech,CTO,Regulatory compliance pressure in legal AI (industry news),Legal AI faces unique governance requirements — our maturity framework includes compliance-specific dimensions,cto@mosaicintel.com,linkedin.com/in/laurawilson-mosaic,ICP1 - Series B
